assignee.name,created,creator.name,description,issuetype.name,priority.name,reporter.name,resolutiondate,status.id,status.name,status.statusCategory.name,summary,updated,key,storypoints,project,sprint
pinnamuri,2012-08-27T16:41:44.000+0000,sgibly,"The Studio will notify with an event that a Module was installed. 
Once this notification is captured, refresh the 'My Modules' list (probably by calling again the 'getMobileModules' action on the 'portal.titanium.modules' controller)",Story,Low,sgibly,,4,Reopened,To Do,Refresh the 'My Modules' listing in the Dashboard when it's being notified that a module was installed,2015-04-13T17:00:00.000+0000,TISTUD-2160,8.0,tistud,
sgibly,2012-08-27T16:37:06.000+0000,sgibly,Fire a dashboard notification at the end of the Module installation.,Technical task,Medium,sgibly,2012-08-30T11:29:50.000+0000,6,Closed,Done,Notify the dashboard when a module installation is completed,2012-11-27T00:49:06.000+0000,TISTUD-2159,5.0,tistud,2012 Sprint 18
sgibly,2012-08-27T16:25:23.000+0000,sgibly,"When opening an external tiapp.xml in the TiApp editor, the 'Cloud Services' button should be disabled just like the other controls that require a project context.
",Bug,Medium,sgibly,2012-08-27T16:26:32.000+0000,6,Closed,Done,"""Enable Cloud Services"" button is enabled for external tiapp.xml files ",2012-08-29T08:13:30.000+0000,TISTUD-2158,2.0,tistud,2012 Sprint 18
mxia,2012-08-27T16:10:37.000+0000,mxia,"The packages include:

1. Platform tools
2. Google Maps v8
3. Base Platform v8

See https://wiki.appcelerator.org/display/tools/Android+SDK+Installation for reference.
",Technical task,High,mxia,2013-09-21T05:42:49.000+0000,6,Closed,Done,Download and install the base required packages,2013-10-23T19:02:01.000+0000,TISTUD-2157,13.0,tistud,
mxia,2012-08-27T16:08:14.000+0000,mxia,"Download the latest SDK unless the user has a compatible SDK already installed.

See https://wiki.appcelerator.org/display/tools/Android+SDK+Installation for reference.
",Technical task,High,mxia,2013-09-21T05:42:09.000+0000,6,Closed,Done,Download the latest Android SDK directly,2013-10-23T19:02:09.000+0000,TISTUD-2156,8.0,tistud,
mxia,2012-08-27T10:41:01.000+0000,ingo,"Related to TISTUD-1351, we request a few small changes to the icons:

# The Android device debugging icon looks odd next to the iOS one. The phones should probably be at least similar in width
# The shadows around the boxes for distribution are too dark. Perhaps just reduce the opacity a bit.",Improvement,High,ingo,2012-09-11T15:15:48.000+0000,6,Closed,Done,Tweak new device and packaging icons,2012-12-10T23:19:50.000+0000,TISTUD-2151,5.0,tistud,2012 Sprint 19
mxia,2012-08-25T05:19:29.000+0000,ssekhri,"New > Titanium Mobile Module project > Install JDT link should point to latest docs

Steps to Reproduce:
1. On a system on which JDT is not installed, choose to create a new titanium mobile module through titanium studio. A wizard to create New Titanium Mobile Module project is shown
2. Click on the Install JDT link, below the Deployment Target field.

Actual: Links to 2.0 documentation

Expected: Should point to latest and get redirected to 2.1.1 docs.",Bug,Medium,ssekhri,2012-12-13T21:39:23.000+0000,6,Closed,Done,Create Module: New > Titanium Mobile Module project > Install JDT link should point to latest docs,2012-12-30T08:02:29.000+0000,TISTUD-2150,3.0,tistud,2012 Sprint 25
mxia,2012-08-23T17:27:22.000+0000,dhyde,The tab header text needs to be adjusted to appear more desirable.,Improvement,High,dhyde,2012-12-06T21:20:33.000+0000,5,Resolved,Done,Macbook Pro Retina: display text needs adjustment,2012-12-10T17:40:50.000+0000,TISTUD-2143,8.0,tistud,
sgibly,2012-08-23T16:48:12.000+0000,mxia,"Debuggin on iOS device is a multi-step process (listed in TISTUD-2090), and before we implement the wizard idea, we should improve the message we show to the user after we started step 2 and are waiting for user to complete step 3 once iTunes finishes syncing. The suggest message is ""Waiting for device... (the app is being installed to iTunes; when iTunes finishes syncing, please launch the app on device for the debugger to connect).""
",Technical task,High,mxia,2012-08-23T16:55:09.000+0000,6,Closed,Done,Make the progress monitor for the debug process display more detailed message,2012-11-27T00:49:17.000+0000,TISTUD-2142,5.0,tistud,2012 Sprint 17
sgibly,2012-08-23T16:36:28.000+0000,mxia,"We should create a wiki page that lists out the requirements needed as well as the detailed steps to successfully debug on iOS device.

We should also add a link that points to the wiki page to the wizard when it is launched in debug mode.
",Technical task,High,mxia,2013-06-19T22:07:29.000+0000,6,Closed,Done,Create a wiki page on how to debug on iOS device from Studio,2013-06-19T22:07:29.000+0000,TISTUD-2140,8.0,tistud,2012 Sprint 17
